"date","Emp","EmpEnd","EmpS","EmpTotal","EmpSpv","HirA","HirN","HirR","Sep","HirAEnd","SepBeg","HirAEndRepl","HirAEndR","SepBegR","HirAEndReplR","HirAS","HirNS","SepS","SepSnx","TurnOvrS","FrmJbGn","FrmJbLs","FrmJbC","FrmJbGnS","FrmJbLsS","FrmJbCS","EarnS","EarnBeg","EarnHirAS","EarnHirNS","EarnSepS","Payroll","sEmp","sEmpEnd","sEmpS","sEmpTotal","sEmpSpv","sHirA","sHirN","sHirR","sSep","sHirAEnd","sSepBeg","sHirAEndRepl","sHirAEndR","sSepBegR","sHirAEndReplR","sHirAS","sHirNS","sSepS","sSepSnx","sTurnOvrS","sFrmJbGn","sFrmJbLs","sFrmJbC","sFrmJbGnS","sFrmJbLsS","sFrmJbCS","sEarnS","sEarnBeg","sEarnHirAS","sEarnHirNS","sEarnSepS","sPayroll"
"1993-01-01",NA,90794724.4957224,NA,111183696.466418,NA,NA,NA,NA,20498595.2838934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,6,-1,6,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
"1993-04-01",87322407.0637411,91357579.7405946,75048868.8555709,112471691.527082,NA,20877297.9622177,NA,NA,21040780.9257995,16288313.9768683,12455107.4449533,11011241.2668386,0.183321883193812,0.13864652681569,0.121312114469696,NA,NA,NA,7990239.43014045,NA,5375114.61733617,4921942,3747144.13724953,NA,NA,NA,2154.03150225806,1954.86032859308,NA,NA,1366.42985912091,NA,6,6,6,6,-1,6,-1,-1,6,6,6,6,6,6,6,-1,-1,-1,6,-1,6,6,6,-1,-1,-1,6,6,-1,-1,6,5
"1993-07-01",91242224.337583,92171908.328235,78140461.9347369,114168362.552988,77546224.4972285,22369146.9316781,NA,NA,21640641.2895716,13996647.2541627,12933219.3470578,7948655.47343259,0.152279357613747,0.141751015246644,0.0871810491988815,8574251.78913825,NA,7967454.81233838,8195181.60676259,0.108856978328875,5968969.57535969,5348042,841135.390140454,4343315.28881475,3695240.92321253,558986.034948593,2170.49634064076,1967.48251881573,1300.00482625897,NA,1373.85800970616,NA,6,6,6,6,6,6,-1,-1,6,6,6,6,6,6,6,6,-1,6,6,6,6,6,6,6,6,6,6,6,6,-1,6,5
"1993-10-01",92277303.5708847,92760534.2521224,78619386.2121493,115421776.98936,78133718.4158811,22963260.8456603,NA,NA,22114756.3035487,14118333.2984474,13281750.8253607,8237228.87865703,0.150727454413136,0.143927569733175,0.0886177737688325,8944803.54417797,NA,8310314.71980055,8317513.40302443,0.109252054967873,5838243.75538635,6456505,737050.539388208,4489222.59469486,3840594.43760002,573673.142980576,2207.26290894711,1996.60411089926,1326.4297978881,NA,1383.62649325352,NA,6,6,6,6,6,6,-1,-1,6,6,6,6,6,6,6,6,-1,6,6,6,6,6,6,6,6,6,6,6,6,-1,6,5
"1994-01-01",92662630.0090614,93442253.7496815,79132080.0832666,115656216.91066,78573514.005096,23579814.2827826,19301799.0950985,4450770.17655914,22652136.7018041,14168302.0325829,13587509.2142539,8297008.86121306,0.153270871502199,0.145972260127637,0.0889391573426889,8830360.39458446,NA,8286316.72904178,8517949.38824329,0.110059667944585,5895786.44146072,4488339,832457.092438743,4345773.49612273,3803614.42756848,470643.743581599,2234.5399035609,2017.8086541641,1333.47795499289,NA,1395.85370301532,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-1,6,6,6,6,6,6,6,6,6,6,6,6,-1,6,5
"1994-04-01",93292948.2008976,94228160.9503368,79523193.6796732,117357755.262171,79065701.8687631,24132295.2358154,20439253.3229946,3201973.62324943,23132323.163465,14762352.2428022,13927088.2954709,8684673.21504833,0.157437020646034,0.147763075509006,0.0917454288468659,8915978.48523954,7686316.55089345,8561767.57132067,8691658.10163174,0.110615290891114,6148246.84998077,4440796,785859.06310263,4278538.52241578,3940584.56926472,492328.733947613,2244.87906292874,2024.47355450531,1336.47369047586,1123.73279657134,1398.94953246449,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1994-07-01",94109385.3332795,94882003.8664633,79955511.4835857,119037128.033672,79510911.8362017,24550018.3365907,21586445.6276849,3137067.10114985,23510424.9063854,15060562.1721506,14048612.3878605,8951468.90062775,0.159348802106018,0.148265441374942,0.0943225153137478,9128018.37538117,7795534.34489834,8702080.55528479,8700604.17976918,0.111377239407289,6072492.81375913,5588171,770959.228575893,4382487.38769005,3931740.28305954,583925.578971231,2278.70151766744,2051.70262493871,1346.47469065775,1289.45911335627,1405.55025360353,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1994-10-01",94980547.2347997,95690657.2866444,80639414.7957814,119462926.523981,79966064.8065725,24672085.4488062,21916116.1119784,3181603.28829707,23913809.9708657,15230783.5733558,14321567.6664098,9039883.60832704,0.158700315181973,0.149856249060203,0.0946358188723913,9311204.5503284,8011953.25949795,8700426.80256747,8826358.77708948,0.112774509679921,6064663.1921565,6476920,876340.164884934,4502363.50095449,3850613.97202823,538961.261017001,2292.97723739732,2062.90336898248,1363.22194276763,1353.14456237401,1444.08681448815,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1995-01-01",95896963.2678219,96548509.9316879,81253203.8187497,120665842.512386,80718107.5807043,24815303.8303742,20890993.3474276,3790605.05104818,24069291.7403046,14867459.8146501,14485482.6895412,8847389.63178976,0.155843552734105,0.150536717157574,0.0926923274465982,9454179.59026407,8176241.4761804,8769421.22962009,8924471.95279087,0.112110578522606,6119104.06755563,4859542,699539.638342909,4594155.43394073,3947174.27005183,646179.564499675,2302.03973135776,2072.30113826539,1376.09307555279,1325.04567915779,1441.69502195588,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1995-04-01",96263991.3656084,97087274.0660637,81760889.2723299,121266695.011685,81159502.6547234,25046985.648937,20258177.5647119,4340332.47099884,24236783.811224,15376204.9455673,14589458.2497964,9188807.00991756,0.158730687970844,0.150612102332235,0.0946612719351472,9276798.23450653,8026577.75418246,8681452.35841952,8913705.44129886,0.111051285888899,6232690.1798101,4622658,737992.215899373,4406839.65475372,3838375.63944813,609407.121529633,2349.03255242813,2114.1532106096,1388.63615723223,1239.99745754763,1477.0618971393,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1995-07-01",96835496.0423052,97543181.4336631,82180073.0890528,121909948.55487,81562335.6548641,25182132.7880043,19720611.4536288,5573328.42677016,24484272.0029774,15679716.136733,14762411.5131361,9454999.83161996,0.160978193199036,0.151708726513471,0.0972404572632592,9389976.32267478,8245346.54080581,9076319.32771918,8930540.16746962,0.111755779519821,6106810.17744923,5671447,786021.406742398,4419225.87072835,4017834.33232654,494418.274924722,2377.43337081396,2136.54510630987,1438.34066406808,1249.25795204442,1499.3518697699,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1995-10-01",97581580.2919981,98216881.3659249,82833254.261818,122556246.874345,82207666.8966433,25172300.258148,20031394.9844899,5449405.05948098,24412455.9395244,15562515.0100246,14770653.564576,9416536.63227308,0.158395201062075,0.150933300591302,0.0967150729141503,9484501.03189789,8292092.11421052,8961080.13414657,9025235.29145739,0.112179401548265,6032601.34209311,6527248,721495.637720866,4481581.20429479,3918253.19005063,592703.79300293,2384.38875536636,2145.50258855213,1438.29868426919,1237.77309164645,1493.71577602832,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1996-01-01",97983596.1407841,98627301.5573284,83200768.4759593,122961383.198394,82649238.7680006,24971700.3354451,21285668.3630631,3786884.73696577,24318570.4524929,15233194.5685358,14749024.9958388,9177513.51462962,0.155800072175366,0.150088385734592,0.0940171915205744,9603286.1040358,8453826.2693576,8969594.27235319,9124059.62438637,0.112177013583975,6143505.4778831,4951111,700451.365097294,4443642.22428095,3959868.84635345,538634.671066104,2405.12497085403,2163.32581491698,1448.56039554183,1284.45673830062,1502.84798649315,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1996-04-01",98410955.4885855,99306413.0452438,83629239.5442373,123681106.383994,83109826.8182904,25220718.7361993,21387907.2340523,3749617.21536316,24471134.4663376,15709091.380739,14870470.4990368,9465352.78058008,0.159111787666478,0.150591633994086,0.0947057735642079,9672911.45256894,8326892.71135872,9108719.10286896,9200716.82627238,0.112698831114747,6280326.60587744,4656903,775795.224708471,4535319.50755127,3978416.87337517,541685.894541239,2438.5789906128,2194.63590408832,1487.43601640802,1368.75425111356,1534.446261466,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1996-07-01",99281472.0791236,99920750.5509196,84316865.3662226,124460429.413051,83750536.2614923,25021192.3558443,21165177.9398183,3752021.67079398,24565544.1745658,15558391.2612075,14972388.2925541,9420359.82996524,0.156377997087043,0.150317502575508,0.0936717106346079,9752360.84190518,8508190.81053125,9088447.2128296,9302628.67696129,0.112963447418686,6151118.952605,5770765,755006.59671675,4628891.21033497,3956887.65805711,562887.579112789,2473.38310177961,2226.97597375275,1518.57713012714,1415.83958945251,1567.44237502978,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1996-10-01",99720520.9855084,100524284.780471,84649818.3177124,125280563.77865,84166530.0684167,25439072.4836762,21646501.3949247,3790271.18927225,24835254.2901492,15864523.4251764,15122742.8143715,9489191.99479115,0.157888901035296,0.150762525570905,0.0947399316571727,9802650.95584367,8595290.43427562,9208319.05217659,9397040.06775919,0.11324415281584,6370199.19416131,6686051,779516.156508259,4589766.75123929,4019463.56330198,501371.67408356,2505.75794335181,2254.61667772338,1522.69643370539,1428.00075916695,1590.14491837687,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1997-01-01",100639803.419234,101451612.402438,85404288.423928,126579312.668837,84756409.1256743,26154118.3864432,22454644.6514488,3731533.64896137,25153195.9274799,16101886.0332488,15342261.8754384,9656336.6380552,0.159637355900368,0.150989584561473,0.0977762993680351,9949195.31162395,8696424.28831608,9492283.02062162,9484733.52668325,0.114028763996432,6408455.55173133,5005042,877945.010834389,4637122.60305416,4103627.82482998,572910.668014712,2544.79410287742,2291.78508744541,1569.34243666311,1473.61170983106,1611.60296467023,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1997-04-01",101515750.406087,102477963.921006,86011629.3481432,127741588.345532,85298956.7691932,26203545.6653594,22548151.1823127,3770171.12740281,25216561.852129,16388457.6850071,15352012.050199,9938579.9227375,0.160640140734489,0.150834530927424,0.0966611349703111,10152226.5912122,8872698.09997467,9441865.75925062,9581878.62346402,0.114846944559475,6488735.51956343,4747404,861249.036144339,4809348.87735314,4071208.93106934,703113.073527025,2577.15205275658,2319.17204596574,1604.3233523028,1537.15860972599,1637.31852841702,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1997-07-01",101933165.556788,102737608.14962,86399028.8469269,128227500.459634,85821393.7310375,26208135.343653,22233473.566208,3838004.65774709,25529252.0945388,16250255.8755481,15528819.3272209,9842252.79879409,0.158938071551217,0.151631289322043,0.0946687222681344,10264957.7659504,8955828.98771846,9474307.42131376,9615404.238951,0.114692402949453,6426647.37033872,5872773,759516.392248021,4826773.56218989,4044067.0364416,683780.911794153,2617.44429845065,2354.88961765139,1622.37884920125,1551.70238723332,1678.14059247328,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1997-10-01",102784321.550586,103671754.432168,87186376.1758083,129178970.033387,86538226.2033177,26292021.6587494,22428744.9371989,3821789.18897937,25701556.8163209,16500297.9680817,15639168.6058891,9964924.05218216,0.159539070528009,0.152193961549031,0.0967849893504122,10326912.8364013,9041865.91692962,9564216.93910912,9688955.22403728,0.114733556242383,6526075.80447266,6763758,680439.496156548,4804271.30451096,4088583.5802462,718297.331506325,2654.79312139374,2388.10724140016,1664.57279324506,1584.53009338157,1695.54131994633,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1998-01-01",102868165.138078,104383187.625027,87496675.0590281,129926669.080653,87148632.8140258,26198769.4288754,22277353.4372957,3840272.37206134,25621420.341091,16982808.5310076,15666703.9003618,10572267.3169158,0.16392877000761,0.149627549340976,0.104497681750433,10274343.9417034,9029581.80064057,9523619.14745175,9846770.21084215,0.115329628152007,6365528.20082762,5276850,1626318.10987616,4824867.94054709,3978764.95147908,682413.064566579,2671.71110395126,2406.89939452406,1682.06702962673,1593.10316250798,1723.48503532962,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1998-04-01",104482163.524494,104931212.92961,88223161.0210288,131267696.597428,87848208.3049015,26786530.3177906,21002684.799525,5742269.91192989,26252099.5709536,16626171.6989954,16013628.220537,10271561.5946777,0.158258753080929,0.153639042559007,0.0967081432371815,10268469.2094625,9033344.56678633,9880049.84743631,9965737.77191338,0.115679511907675,6398435.40082712,5182867,511436.327567159,4737140.18365321,4313442.29859403,529821.152013825,2727.1173926543,2456.37496270613,1707.74826504673,1490.54484034688,1775.95636008321,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"1998-07-01",104922093.714812,105572246.832146,88765284.3071525,132051670.987063,88236373.0137988,27081461.3345543,19627279.9804073,7413104.25547554,26535806.8527478,16718084.780386,16042951.4952157,10314065.5747262,0.158270827889732,0.153516639482343,0.0965383060876291,10614194.1140261,9440439.94996785,9925208.96824594,10027835.9194415,0.115934911140233,6430825.32326797,6034153,512140.374441233,4895639.45571193,4229859.14619043,595296.859093076,2740.84305965036,2468.78866392466,1722.60977556899,1434.94095533598,1798.93137200419,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
